Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings
Lost in Translation,4.5,3.88,0.62,10/25/2020,102,1:42,"English,Japanese",Sofia Coppola,2003,"Comedy,Romance,Drama",Japan,33531,341844
2001: A Space Odyssey,4.5,4.31,0.19,09/26/2020,149,2:29,"English,Russian",Stanley Kubrick,1968,"Science Fiction,Adventure,Mystery",UK,43332,378950
Reservoir Dogs,4.5,4.12,0.38,,99,1:39,English,Quentin Tarantino,1992,"Crime,Thriller",USA,29788,442281
Being John Malkovich,4.5,4,0.50,06/24/2020,113,1:53,"English,French",Spike Jonze,1999,"Drama,Fantasy,Comedy",USA,22277,184519
The Nice Guys,4.5,3.77,0.73,,116,1:56,English,Shane Black,2016,"Action,Crime,Comedy",UK,36797,301621
Schindler's List,4.5,4.42,0.08,07/16/2021,195,3:15,"English,German,Polish,Hebrew (modern)",Steven Spielberg,1993,"War,Drama,History",USA,14614,314009
Home Alone,4.5,3.75,0.75,11/25/2020,103,1:43,"English,French",Chris Columbus,1990,"Comedy,Family",USA,29799,401501
The Big Short,4.5,3.76,0.74,,131,2:11,English,Adam McKay,2015,"Comedy,Drama",USA,26371,289670
Me and Earl and the Dying Girl,4.5,3.78,0.72,,105,1:45,English,Alfonso Gomez-Rejon,2015,"Comedy,Drama",USA,13565,116784
Parasite,4.5,4.59,-0.09,01/31/2020,133,2:13,"Korean,English,German",Bong Joon-ho,2019,"Comedy,Drama,Thriller",South Korea,160187,1151061
The Dark Knight,4.5,4.43,0.07,03/07/2021,152,2:32,"English,Chinese",Christopher Nolan,2008,"Action,Thriller,Drama,Crime",UK,53402,874226
Rope,4.5,4.05,0.45,02/12/2020,81,1:21,English,Alfred Hitchcock,1948,"Drama,Crime,Thriller",USA,14844,95440
