Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Richard Jewell,3.5,3.5,0.0,05/07/2022,131,2:11,English,Clint Eastwood,2019,"Crime,Drama,History",USA,11837,63276,"Paul Walter Hauser,Jon Hamm,Kathy Bates,Sam Rockwell,Olivia Wilde,Nina Arianda,Ian Gomez,Wayne Duvall,Dylan Kussman,Mike Pniewski,Brandon Stanley,Ryan Boz,Charles Green,Ronnie Allen,David Lengel,Beth Keener,Grant Roberts,Alan Heckner,Desmond Phillips,Alex Collins,Michael Otis,Izzy Herbert,Kelly Collins Lintz"
A Short Film About Love,3.0,4.04,-1.04,05/01/2022,87,1:27,"Polish,German,Portuguese",Krzysztof Kieślowski,1988,"Drama,Romance",Poland,2937,21941,"Grażyna Szapołowska,Olaf Lubaszenko,Stefania Iwińska,Piotr Machalica,Artur Barciś,Stanisław Gawlik,Tomasz Gradowski,Rafal Imbro,Jan Piechociński,Krzysztof Koperski"
Louis Theroux: Altered States,3.5,3.77,-0.27,02/11/2022,180,3:00,English,Arron Fellows,2018,Documentary,UK,132,609,Louis Theroux
Oldboy,4.0,4.31,-0.31,04/24/2022,120,2:00,Korean,Park Chan-wook,2003,"Drama,Action,Mystery,Thriller",South Korea,30175,300470,"Choi Min-sik,Yoo Ji-tae,Kang Hye-jung,Kim Byeong-Ok,Ji Dae-han,Oh Dal-su,Lee Seung-shin,Yoon Jin-seo,Oh Tae-kyung,Yoo Yeon-seok,Yoo Il-han,Oh Gwang-rok,Lee Dae-yeon,Park Myung-shin,Kim Su-hyun,Yong-ih,Seo Myeong-Seok,Mun Seong-Bok"
The History of the Seattle Mariners,4.0,4.53,-0.53,04/22/2022,220,3:40,English,Jon Bois,2020,Documentary,USA,1129,3022,"Jon Bois,Alex Rubenstein"
Red Rocket,4.0,3.89,0.11,04/01/2022,130,2:10,English,Sean Baker,2021,"Comedy,Drama",USA,23071,64885,"Simon Rex,Bree Elrod,Suzanna Son,Brenda Deiss,Sophie,Vickie Pearce,Bashir Abboud,Kevin Cavanaugh,Caressa Garza,Marlon Lambert,Judy Hill,Brittney Rodriguez,Melary Jones,Najeeb Hassan,Leigh Ann Welch,Debra Johnson,Ethan Darbone,Alex Michell"
After Yang,3.5,3.9,-0.4,03/22/2022,96,1:36,"English,Chinese",Kogonada,2021,"Drama,Science Fiction",USA,15238,37713,"Colin Farrell,Jodie Turner-Smith,Malea Emma Tjandrawidjaja,Justin H. Min,Ritchie Coster,Sarita Choudhury,Clifton Collins Jr.,Haley Lu Richardson,Orlagh Cassidy,Ava DeMary,Lee Wong,Brett Dier"
Drive My Car,3.0,4.15,-1.15,03/20/2022,179,2:59,"Japanese,Chinese,English,German,Indonesian,Korean,Malay,Tagalog",Ryusuke Hamaguchi,2021,Drama,Japan,46752,147686,"Hidetoshi Nishijima,Toko Miura,Masaki Okada,Reika Kirishima,Park Yu-rim,Jin Dae-yeon,Sonia Yuan,Ahn Hwi-tae,Perry Dizon,Satoko Abe,Hiroko Matsuda,Toshiaki Inomata,Takako Yamamura,Ryo Iwase,Faisal Anwar,Kamal Zharif,Massimo Biondi,Shoichiro Tanigawa"
The Worst Person in the World,4.0,4.16,-0.16,03/19/2022,128,2:08,Norwegian,Joachim Trier,2021,"Comedy,Romance,Drama",Denmark,59032,179103,"Renate Reinsve,Anders Danielsen Lie,Herbert Nordrum,Hans Olav Brenner,Helene Bjørnebye,Vidar Sandem,Maria Grazia Di Meo,Lasse Gretland,Karen Røise Kielland,Marianne Krogh,Thea Stabell,Deniz Kaya,Eia Skjønsberg"
No Time to Die,3.0,3.52,-0.52,03/14/2022,163,2:43,"English,French,Italian,Russian,Spanish",Cary Joji Fukunaga,2021,"Adventure,Thriller,Action",UK,75172,290890,"Daniel Craig,Léa Seydoux,Rami Malek,Lashana Lynch,Ralph Fiennes,Ben Whishaw,Naomie Harris,Rory Kinnear,Jeffrey Wright,Billy Magnussen,Christoph Waltz,David Dencik,Ana de Armas,Dali Benssalah,Lisa-Dorah Sonnet,Coline Defaud,Mathilde Bourbin,Hugh Dennis,Priyanga Burford,Joe Grossi,Nicola Olivieri,Pio Amato"
