Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Star Wars: The Force Awakens,1.0,3.43,-2.43,,136,2:16,English,J.J. Abrams,2015,"Science Fiction,Action,Adventure,Fantasy",USA,52280,741035,"Harrison Ford,Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley,John Boyega,Oscar Isaac,Lupita Nyong'o,Andy Serkis,Domhnall Gleeson,Anthony Daniels,Max von Sydow,Peter Mayhew,Gwendoline Christie,Joonas Suotamo,Pip Andersen,Simon Pegg,Kiran Shah,Sasha Frost,Pip Torrens,Andrew Jack,Rocky Marshall,Greg Grunberg,Emun Elliott,Brian Vernel,Yayan Ruhian,Sebastian Armesto,Maisie Richardson-Sellers,Warwick Davis,Cailey Fleming,Mark Stanley,Ken Leung,Iko Uwais,Anna Brewster,Harriet Walter,Tim Rose,Erik Bauersfeld,Mike Quinn,Bill Kipsang Rotich,Michael Giacchino,Nigel Godrich,Judah Friedlander,Victor McGuire,Miltos Yerolemou,Billie Lourd,Leanne Best,Crystal Clarke,Jeffery Kissoon,Claudia Sermbezis,Gerald W. Abrams,Jim McGrath,Philicia Saunders,Morgan Dameron,Jessica Henwick,Tosin Cole,James McArdle,Stefan Grube,Dixie Arnold,Hannah John-Kamen,Kate Fleetwood,Thomas Brodie-Sangster,Brian Herring,Dave Chapman,Jimmy Vee,Cecep Arif Rahman,Ian Whyte,Daniel Craig,Ewan McGregor,Frank Oz,Alec Guinness,Tom Kane,Catherine Taber,Matthew Wood,Samuel Witwer,Meredith Salenger"
The Martian,3.0,3.72,-0.72,,141,2:21,"English,Chinese",Ridley Scott,2015,"Drama,Science Fiction,Adventure",UK,26956,595665,"Matt Damon,Jessica Chastain,Jeff Daniels,Sean Bean,Chiwetel Ejiofor,Donald Glover,Kristen Wiig,Michael Peña,Kate Mara,Sebastian Stan,Benedict Wong,Mackenzie Davis,Naomi Scott,Aksel Hennie,Nick Mohammed,Chen Shu,Eddy Ko,Enzo Cilenti,Jonathan Aris,Gruffudd Glyn,Geoffrey Thomas,Yang Haiwen"
Ant-Man,2.0,3.33,-1.33,,117,1:57,English,Peyton Reed,2015,"Adventure,Science Fiction,Action",USA,34722,594722,"Paul Rudd,Michael Douglas,Evangeline Lilly,Bobby Cannavale,Corey Stoll,Anthony Mackie,Judy Greer,Abby Ryder Fortson,Michael Peña,David Dastmalchian,T.I.,Wood Harris,Hayley Atwell,John Slattery,Martin Donovan,Garrett Morris,Gregg Turkington,Rod Hallett,Joe Chrest,Joe Bucaro III,Jean Louisa Kelly,Dax Griffin,Hayley Lovitt,Anna Akana,Stan Lee,Tom Kenny,Norma Alvarez,Darcie Isabella Cottrell,Teddy Williams,Carol Anne Watts,Chuck David Willis,Diana Chiritescu"
Inside Out,2.5,3.87,-1.37,,95,1:35,English,Pete Docter,2015,"Adventure,Comedy,Family,Drama,Animation",USA,34860,794599,"Amy Poehler,Phyllis Smith,Bill Hader,Kaitlyn Dias,Richard Kind,Lewis Black,Mindy Kaling,Diane Lane,Kyle MacLachlan,Bobby Moynihan,Paula Poundstone,Paula Pell,Dave Goelz,Frank Oz,Josh Cooley,Flea,John Ratzenberger,Carlos Alazraqui,Peter Sagal,Rashida Jones,Lori Alan,Gregg Berger,Aurora Blue,Veronika Bonell,Lola Cooley,John Cygan"
Mad Max: Fury Road,3.0,4.14,-1.14,,121,2:01,English,George Miller,2015,"Adventure,Science Fiction,Action",Australia,64858,759606,"Tom Hardy,Charlize Theron,Nicholas Hoult,Hugh Keays-Byrne,Zoë Kravitz,Riley Keough,Rosie Huntington-Whiteley,Abbey Lee,Courtney Eaton,Josh Helman,Nathan Jones,John Howard,Richard Carter,Iota,Angus Sampson,Jennifer Hagan,Megan Gale,Melissa Jaffer,Melita Jurišić,Gillian Jones,Joy Smithers,Antoinette Kellerman,Christina Koch,Jon Iles"
Avengers: Age of Ultron,3.0,3.14,-0.14,,141,2:21,English,Joss Whedon,2015,"Science Fiction,Action,Adventure",USA,41169,650743,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Jeremy Renner,James Spader,Samuel L. Jackson,Don Cheadle,Aaron Taylor-Johnson,Elizabeth Olsen,Paul Bettany,Cobie Smulders,Anthony Mackie,Hayley Atwell,Idris Elba,Linda Cardellini,Stellan Skarsgård,Claudia Kim,Thomas Kretschmann,Andy Serkis,Julie Delpy,Stan Lee,Henry Goodman,Chris Luca,Brian Schaeffer,Dominique Provost-Chalkley,Isaac Andrews,Gareth Kieran Jones"
The Witch,1.0,3.87,-2.87,,92,1:32,English,Robert Eggers,2015,"Drama,Mystery,Horror,Fantasy",Brazil,75812,520230,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw,Ellie Grainger,Lucas Dawson,Bathsheba Garnett,Sarah Stephens,Julian Richings,Daniel Malik,Axtun Henry Dube,Athan Conrad Dube,Vivien Moore"
Ex Machina,5.0,3.98,1.02,,108,1:48,English,Alex Garland,2014,"Drama,Science Fiction",UK,49874,561181,"Domhnall Gleeson,Alicia Vikander,Oscar Isaac,Sonoya Mizuno,Corey Johnson,Claire Selby,Symara A. Templeman,Gana Bayarsaikhan,Tiffany Pisani,Elina Alminas,Chelsea Li,Dan Pappaspanos"
Interstellar,5.0,4.24,0.76,,169,2:49,English,Christopher Nolan,2014,"Science Fiction,Drama,Adventure",UK,89635,1067937,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,Michael Caine,Bill Irwin,Casey Affleck,John Lithgow,Wes Bentley,David Gyasi,Matt Damon,Topher Grace,Timothée Chalamet,Ellen Burstyn"
Gone Girl,5.0,4.07,0.93,,149,2:29,English,David Fincher,2014,"Drama,Thriller,Mystery",USA,104084,908175,"Ben Affleck,Rosamund Pike,Carrie Coon,Kim Dickens,Neil Patrick Harris,Tyler Perry,Patrick Fugit,Lisa Banes,David Clennon,Boyd Holbrook,Lola Kirke,Casey Wilson,Missi Pyle,Emily Ratajkowski,Scoot McNairy,Sela Ward,Lee Norris,Jamie McShane,Leonard Kelly-Young,Kathleen Rose Perkins,Pete Housman,Lynn Adrianna,Cyd Strittmatter,Ricky Wood,Donna Rusch,Mark Atteberry,Darin Cooper,Kate Campbell,Brett Leigh,Antonio St. James"
Nightcrawler,4.0,4.03,-0.03,,118,1:58,English,Dan Gilroy,2014,"Crime,Thriller,Drama",USA,64640,623582,"Jake Gyllenhaal,Rene Russo,Riz Ahmed,Bill Paxton,Kevin Rahm,Michael Hyatt,Price Carson,Kent Shocknek,Sharon Tay,Ann Cusack,Carolyn Gilroy,Marco Rodríguez,Michael Papajohn,Jonny Coyne,Rick Chambers,Pat Harvey,Rick Garcia"
