Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Bamboozled,3.75,136,2:16,English,Spike Lee,2000,"Comedy,Drama",USA,3230,11669,"Damon Wayans,Savion Glover,Jada Pinkett Smith,Tommy Davidson,Michael Rapaport,Thomas Jefferson Byrd,Paul Mooney,Gillian White,Susan Batson,Yasiin Bey,M.C. Serch,Gano Grills,Canibus,DJ Scratch,Charli Baltimore,Craig muMs Grant,Dormeshia Sumbry,Tyheesha Collins,Cartier Williams,Jason Bernard,Baakari Wilder,Sekou Torbet,Questlove,Tariq Trotter,James 'Kamal' Gray,Leonard 'Hub' Hubbard,Kyle 'Scratch' Jones,Christopher Wynkoop,Jani Blom,Dina Pearlman,Imhotep Gary Byrd"
9/11 Kids,3.33,88,1:28,"English,French",Elizabeth St. Philip,2020,Documentary,Canada,26,78,
City Lights,4.27,87,1:27,"English,No spoken language",Charlie Chaplin,1931,"Drama,Romance,Comedy",USA,8094,66716,"Charlie Chaplin,Virginia Cherrill,Harry Myers,Al Ernest Garcia,Hank Mann,Albert Austin,Eddie Baker,Henry Bergman,Buster Brodie,Jeanne Carpenter,Tom Dempsey,James Donnelly"
Rififi,4.16,118,1:58,"French,English,Italian",Jules Dassin,1955,"Drama,Action,Crime",France,3721,22638,"Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey,Pierre Grasset,Robert Hossein,Marcel Lupovici,Dominique Maurin,Magali Noël,Marie Sabouret,Claude Sylvain"
Laura,3.98,88,1:28,English,Otto Preminger,1944,"Drama,Mystery",USA,5012,29873,"Gene Tierney,Dana Andrews,Clifton Webb,Vincent Price,Judith Anderson,Grant Mitchell,Dorothy Adams,Wally Albright,Bobby Barber,Harry Carter,Lane Chandler,Dorothy Christy,James Conaty,Ralph Dunn,Jean Fenwick,Clyde Fillmore,James Flavin"
Wajib,3.84,100,1:40,Arabic,Annemarie Jacir,2017,Drama,Germany,330,1577,"Mohammad Bakri,Saleh Bakri,Maria Zreik,Lama Tatour,Monera Shehadeh,Henry Andrawes,Shams Bawardi,Rana Alamuddin,Ossama Bawardi,Sobhi Hosary,Falah Zoabi,Rezik Bawardi,Gaby Abu Sini,Huda Al Imam,Zuhaira Sabbagh,Naheda Azzam Shorrosh,Emil Rock,Ruba Blal"
Notorious,4.03,103,1:43,English,Alfred Hitchcock,1946,"Thriller,Mystery,Romance",USA,6506,46747,"Ingrid Bergman,Cary Grant,Claude Rains,Leopoldine Konstantin,Louis Calhern,Alex Minotis,Reinhold Schünzel,Ivan Triesault,Friedrich von Ledebur,Peter von Zerneck,Eberhard Krumschmidt,Moroni Olsen,Ricardo Costa,Charles Mendl,Wally Brown,Fay Baker,Fred Nurney,Charles D. Brown,Eddie Bruce,Ben Erway,Donald Kerr,James Logan,Emmett Vogan"
The Red Shoes,4.3,133,2:13,"English,Russian,French",Emeric Pressburger,1948,"Drama,Romance",UK,9538,43416,"Moira Shearer,Adolf Wohlbrück,Marius Goring,Léonide Massine,Robert Helpmann,Albert Bassermann,Esmond Knight,Ludmilla Tchérina,Jean Short,Gordon Littmann,Julia Lang,Bill Shine,Austin Trevor"
The General,4.12,79,1:19,"English,No spoken language",Buster Keaton,1926,"Comedy,Action,Adventure,War,Drama",USA,6340,43308,"Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,Frederick Vroom,Charles Henry Smith,Joe Keaton,Al St. John,Frank Barnes,Mike Donlin,Tom Nawn,Jimmy Bryant,Budd Fine"
Fitzcarraldo,4.06,157,2:37,"German,English,Italian,Spanish",Werner Herzog,1982,"Drama,Adventure",Germany,3799,29435,"Klaus Kinski,Claudia Cardinale,José Lewgoy,Miguel Ángel Fuentes,Paul Hittscher,Huerequeque Enrique Bohórquez,Grande Otelo,Peter Berling,David Pérez Espinosa,Milton Nascimento,Ruy Polanah,Salvador Godínez,Dieter Milz,William L. Rose,Leoncio Bueno"
