Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Jodorowsky's Dune,3.89,90,1:30,"English,German,Spanish,French",Frank Pavich,2013,Documentary,France,5755,33977,"Alejandro Jodorowsky,H. R. Giger,Brontis Jodorowsky,Nicolas Winding Refn,Amanda Lear,Richard Stanley,Devin Faraci,Michel Seydoux,Chris Foss,Drew McWeeny,Gary Kurtz,Diane O'Bannon"
Get Out,4.2,104,1:44,English,Jordan Peele,2017,"Thriller,Horror,Mystery",USA,108281,1342941,"Daniel Kaluuya,Allison Williams,Catherine Keener,Bradley Whitford,Caleb Landry Jones,Marcus Henderson,Betty Gabriel,Lakeith Stanfield,Stephen Root,Lil Rel Howery,Ashley LeConte Campbell,John Wilmot"
Lawrence of Arabia,4.24,228,3:48,"English,Arabic,Turkish",David Lean,1962,"Adventure,War,Drama,History",UK,13913,110653,"Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,Omar Sharif,José Ferrer,Anthony Quayle,Claude Rains,Arthur Kennedy,Donald Wolfit,I.S. Johar,Gamil Ratib,Michel Ray,John Dimech,Zia Mohyeddin,Howard Marion-Crawford,Jack Gwillim,Hugh Miller,John Barry,Bruce Beeby,Fred Bennett,John Bennett,Steve Birtles"
Free Fire,3.19,90,1:30,English,Ben Wheatley,2016,"Mystery,Action,Crime",UK,11385,58844,"Brie Larson,Sharlto Copley,Armie Hammer,Cillian Murphy,Jack Reynor,Sam Riley,Michael Smiley,Noah Taylor,Babou Ceesay,Enzo Cilenti,Patrick Bergin,Tom Davis,Mark Monero,Sara Dee"
Sing Street,3.99,106,1:46,English,John Carney,2016,"Comedy,Drama,Music,Romance",USA,27253,167236,"Ferdia Walsh-Peelo,Lucy Boynton,Maria Doyle Kennedy,Aidan Gillen,Jack Reynor,Kelly Thornton,Ben Carolan,Mark McKenna,Percy Chamburuka,Conor Hamilton,Kyle Bradley Donaldson,Karl Rice,Ian Kenny,Don Wycherley"
Up,4.09,96,1:36,English,Pete Docter,2009,"Adventure,Comedy,Animation,Family",USA,26249,857298,"Ed Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Delroy Lindo,Jerome Ranft,John Ratzenberger,David Kaye,Elie Docter,Jeremy Leary,Mickie McGowan,Danny Mann"
Blade Runner,4.09,118,1:58,"English,German,Cantonese,Japanese,Hungarian",Ridley Scott,1982,"Drama,Science Fiction,Thriller",USA,63118,588840,"Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh,Daryl Hannah,William Sanderson,Brion James,Joe Turkel,Joanna Cassidy,James Hong,Kevin Thompson"
Annie Hall,3.97,93,1:33,"English,German",Woody Allen,1977,"Comedy,Drama,Romance",USA,15912,161199,"Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,Paul Simon,Shelley Duvall,Janet Margolin,Colleen Dewhurst,Christopher Walken,Donald Symington,Helen Ludlam,Mordecai Lawner,Joan Neuman,Jonathan Munk,Ruth Volner,Martin Rosenblatt,Hy Anzell,Rashel Novikoff,Russell Horton,Marshall McLuhan,Christine Jones,Mary Boylan,Wendy Girard,John Doumanian,Bob Maroff,Rick Petrucelli,Lee Callahan,Chris Gampel,Dick Cavett,Mark Lenard,Dan Ruskin,John Glover,Bernie Styles"
The Truman Show,4.19,103,1:43,English,Peter Weir,1998,"Comedy,Drama",USA,82331,1066213,"Jim Carrey,Laura Linney,Noah Emmerich,Natascha McElhone,Ed Harris,Holland Taylor,Paul Giamatti,Brian Delate,Peter Krause,Blair Slater,Heidi Schanz,Una Damon,Krista Lynn Landolfi,O-Lan Jones,Ron Taylor,Don Taylor,Ted Raymond,Harry Shearer,Jeanette Miller,Philip Glass,Joe Minjares,Philip Baker Hall,John Pleshette,Terry Camilleri,Joel McKinnon Miller,Judy Clayton,Fritz Dominique,Angel Schmiedt"
Wonder Woman,3.39,141,2:21,"English,German",Patty Jenkins,2017,"Adventure,Action,Fantasy",USA,36167,590212,"Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright,Danny Huston,David Thewlis,Saïd Taghmaoui,Ewen Bremner,Eugene Brave Rock,Lucy Davis,Elena Anaya,Lilly Aspell,Lisa Loven Kongsli,Ann Wolfe,Ann Ogbomo,Emily Carey,James Cosmo,Wolf Kahler,Alexander Mercury,Martin Bishop,Flora Nicholson,Pat Abernethy,Freddy Elletson,Sammy Hayman,Michael Tantrum,Philippe Spall,Edward Wolstenholme,Ian Hughes,Marko Leht,Steffan Rhodri,Andrew Byron"
Plan 9 from Outer Space,2.18,79,1:19,English,Edward D. Wood Jr.,1957,"Horror,Science Fiction",USA,4607,22283,"Gregory Walcott,Mona McKinnon,Duke Moore,Tom Keene,Carl Anthony,Paul Marco,Tor Johnson,Dudley Manlove,Joanna Lee,John Breckinridge,Lyle Talbot,Conrad Brooks,Maila Nurmi,Bela Lugosi"
Whiplash,4.41,107,1:47,English,Damien Chazelle,2014,"Drama,Music",USA,157309,1141140,"Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell,Chris Mulkey,Nate Lang,Charlie Ian,Jayson Blair,Kavita Patil,Damon Gupton,Suanne Spoke,Max Kasch,Kofi Siriboe,C.J. Vana,Tarik Lowe,Tyler Kimball,Rogelio Douglas Jr."
Weird Science,3.11,94,1:34,English,John Hughes,1985,"Comedy,Science Fiction,Romance",USA,4828,43818,"Anthony Michael Hall,Kelly LeBrock,Ilan Mitchell-Smith,Bill Paxton,Suzanne Snyder,Judie Aronson,Robert Rusler,Robert Downey Jr.,Steve James,Vernon Wells,Michael Berryman"
Raw,3.69,99,1:39,French,Julia Ducournau,2016,"Horror,Drama",Belgium,50214,230481,"Garance Marillier,Ella Rumpf,Rabah Nait Oufella,Laurent Lucas,Joana Preiss,Bouli Lanners,Marion Vernoux,Thomas Mustin,Marouan Iddoub,Jean-Louis Sbille,Benjamin Boutboul,Virgil Leclaire"
Army of Darkness,3.75,81,1:21,English,Sam Raimi,1992,"Horror,Fantasy,Comedy",USA,23258,129129,"Bruce Campbell,Embeth Davidtz,Marcus Gilbert,Ian Abercrombie,Richard Grove,Timothy Patrick Quill,Michael Earl Reid,Bridget Fonda,Patricia Tallman,Ted Raimi,Deke Anderson,Bruce Thomas,Sara Shearer,Shiva Gordon,Billy Bryan,Nadine Grycan,Bill Moseley,Micheal Kenney,Andy Bale"
Obvious Child,3.52,83,1:23,English,Gillian Robespierre,2014,"Comedy,Romance",USA,7165,41388,"Jenny Slate,Jake Lacy,Gaby Hoffmann,Paul Briganti,Stephen Singer,Richard Kind,Polly Draper,Gabe Liedman,Cindy Cheung,Ernest Mingione,Cyrus McQueen,David Cross,Maciek Jasik,Jennifer Kim,Suzanne Lenz,Emily Tremaine,Stacey Sargeant,Brenda Birkeland,Kelly Frances Ramsey,Judith Reid,Robert Conant,Karla Conford,Norm Gennarelli,Pat Keegan,Angeliki Koutsos,Jackline F. Lamiscarre,Eileen Landsman,Gail Lott,Peter Mastando,Giuseppe Moreni,Doris Santera,Frances Silverglate,Lucien Wasserman,Elise Widerker,Nicholas Cirillo,Diana Clarke,Samantha Lifson,Karen Maine,Bianca Mitchell,Linda Morris,Rachel Oteo,Sabrina Petrov,Anna Powers,Shannon Richardson,Gabrielle Roberts,Christina Tirado,Mika Alexander,Calaix Alexander,Ramses Alexandre,Carl Banks,Daniel Bennett,Blair Beusman"
Django Unchained,4.2,165,2:45,"English,French,German",Quentin Tarantino,2012,"Western,Drama",USA,58828,1009473,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson,Walton Goggins,Dennis Christopher,James Remar,David Steen,Dana Gourrier,Nichole Galicia,Laura Cayouette,Ato Essandoh,Sammi Rotibi,Clay Donahue Fontenot,Escalante Lundy,Miriam F. Glover,Don Johnson,Franco Nero,James Russo,Tom Wopat,Don Stroud,Amber Tamblyn,Bruce Dern,M.C. Gainey,Cooper Huckabee,Doc Duhame,Jonah Hill,Lee Horsley,Zoë Bell,Michael Bowen,Robert Carradine,Jake Garber,Ted Neeley,James Parks,Tom Savini,Michael Parks,John Jarratt,Quentin Tarantino,Amari Cheatom,Keith Jefferson,Marcus Henderson,Lil Chuuch,Kinetic,Louise Stratten"
