Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Sing Street,3.99,106,1:46,English,John Carney,2016,"Comedy,Drama,Music,Romance",USA,28222,171610,"Ferdia Walsh-Peelo,Lucy Boynton,Maria Doyle Kennedy,Aidan Gillen,Jack Reynor,Kelly Thornton,Ben Carolan,Mark McKenna,Percy Chamburuka,Conor Hamilton,Kyle Bradley Donaldson,Karl Rice,Ian Kenny,Don Wycherley"
Up,4.09,96,1:36,English,Pete Docter,2009,"Comedy,Animation,Adventure,Family",USA,27711,897247,"Ed Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Delroy Lindo,Jerome Ranft,John Ratzenberger,David Kaye,Elie Docter,Jeremy Leary,Mickie McGowan,Danny Mann"
Blade Runner,4.09,118,1:58,"English,German,Cantonese,Japanese,Hungarian",Ridley Scott,1982,"Drama,Science Fiction,Thriller",USA,65539,607118,"Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh,Daryl Hannah,William Sanderson,Brion James,Joe Turkel,Joanna Cassidy,James Hong,Kevin Thompson"
Annie Hall,3.97,93,1:33,"English,German",Woody Allen,1977,"Comedy,Drama,Romance",USA,16490,165006,"Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,Paul Simon,Shelley Duvall,Janet Margolin,Colleen Dewhurst,Christopher Walken,Donald Symington,Helen Ludlam,Mordecai Lawner,Joan Neuman,Jonathan Munk,Ruth Volner,Martin Rosenblatt,Hy Anzell,Rashel Novikoff,Russell Horton,Marshall McLuhan,Christine Jones,Mary Boylan,Wendy Girard,John Doumanian,Bob Maroff,Rick Petrucelli,Lee Callahan,Chris Gampel,Dick Cavett,Mark Lenard,Dan Ruskin,John Glover,Bernie Styles"
The Truman Show,4.19,103,1:43,English,Peter Weir,1998,"Comedy,Drama",USA,86862,1120390,"Jim Carrey,Laura Linney,Noah Emmerich,Natascha McElhone,Ed Harris,Holland Taylor,Paul Giamatti,Brian Delate,Peter Krause,Blair Slater,Heidi Schanz,Una Damon,Krista Lynn Landolfi,O-Lan Jones,Ron Taylor,Don Taylor,Ted Raymond,Harry Shearer,Jeanette Miller,Philip Glass,Joe Minjares,Philip Baker Hall,John Pleshette,Terry Camilleri,Joel McKinnon Miller,Judy Clayton,Fritz Dominique,Angel Schmiedt,Nastassja Schmiedt"
Wonder Woman,3.38,141,2:21,"English,German",Patty Jenkins,2017,"Adventure,Action,Fantasy",USA,36693,605994,"Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright,Danny Huston,David Thewlis,Saïd Taghmaoui,Ewen Bremner,Eugene Brave Rock,Lucy Davis,Elena Anaya,Lilly Aspell,Lisa Loven Kongsli,Ann Wolfe,Ann Ogbomo,Emily Carey,James Cosmo,Wolf Kahler,Alexander Mercury,Martin Bishop,Flora Nicholson,Pat Abernethy,Freddy Elletson,Sammy Hayman,Michael Tantrum,Philippe Spall,Edward Wolstenholme,Ian Hughes,Marko Leht,Steffan Rhodri,Andrew Byron"
Plan 9 from Outer Space,2.18,79,1:19,English,Edward D. Wood Jr.,1957,"Horror,Science Fiction",USA,4748,22796,"Gregory Walcott,Mona McKinnon,Duke Moore,Tom Keene,Carl Anthony,Paul Marco,Tor Johnson,Dudley Manlove,Joanna Lee,John Breckinridge,Lyle Talbot,Conrad Brooks,Maila Nurmi,Bela Lugosi"
Whiplash,4.41,107,1:47,English,Damien Chazelle,2014,"Drama,Music",USA,169945,1213256,"Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell,Chris Mulkey,Nate Lang,Charlie Ian,Jayson Blair,Kavita Patil,Damon Gupton,Suanne Spoke,Max Kasch,Kofi Siriboe,C.J. Vana,Tarik Lowe,Tyler Kimball,Rogelio Douglas Jr."
Weird Science,3.11,94,1:34,English,John Hughes,1985,"Romance,Comedy,Science Fiction",USA,4979,44943,"Anthony Michael Hall,Kelly LeBrock,Ilan Mitchell-Smith,Bill Paxton,Suzanne Snyder,Judie Aronson,Robert Rusler,Robert Downey Jr.,Steve James,Vernon Wells,Michael Berryman"
Raw,3.69,99,1:39,French,Julia Ducournau,2016,"Horror,Drama",Belgium,52076,237838,"Garance Marillier,Ella Rumpf,Rabah Nait Oufella,Laurent Lucas,Joana Preiss,Bouli Lanners,Marion Vernoux,Thomas Mustin,Marouan Iddoub,Jean-Louis Sbille,Benjamin Boutboul,Virgil Leclaire"
Army of Darkness,3.75,81,1:21,English,Sam Raimi,1992,"Horror,Fantasy,Comedy",USA,24244,133144,"Bruce Campbell,Embeth Davidtz,Marcus Gilbert,Ian Abercrombie,Richard Grove,Timothy Patrick Quill,Michael Earl Reid,Bridget Fonda,Patricia Tallman,Ted Raimi,Deke Anderson,Bruce Thomas,Sara Shearer,Shiva Gordon,Billy Bryan,Nadine Grycan,Bill Moseley,Micheal Kenney,Andy Bale"
