Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Mirror,4.29,107,1:47,"Russian,Spanish",Andrei Tarkovsky,1975,"Drama,History",USSR,13371,66485,"Margarita Terekhova,Ignat Daniltsev,Larisa Tarkovskaya,Alla Demidova,Anatoliy Solonitsyn,Nikolay Grinko,Tamara Ogorodnikova,Yuriy Nazarov,Oleg Yankovskiy,Filipp Yankovsky,Yuri Sventikov,Tatyana Reshetnikova,Mariya Tarkovskaya-Vishnyakova,Olga Kizilova"
Fight Club,4.29,139,2:19,English,David Fincher,1999,Drama,Germany,102974,1113250,"Edward Norton,Brad Pitt,Helena Bonham Carter,Meat Loaf,Jared Leto,Zach Grenier,Holt McCallany,Eion Bailey,Richmond Arquette,David Andrews,Christina Cabot,Tim DeZarn,Ezra Buzzington,Bob Stephenson,David Lee Smith,Carl Ciarfalio,Stuart Blumberg,Mark Fite,Matt Winston,Lauren Sánchez,Thom Gossom Jr.,Markus Redmond,Van Quattro,Michael Girardin,David Jean Thomas,Paul Carafotes,Christopher John Fields,Michael Shamus Wiles,George Maguire,Eugenie Bondurant"
Barry Lyndon,4.29,185,3:05,"English,German,French",Stanley Kubrick,1975,"Romance,Drama,War",UK,17488,112023,"Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,Diana Körner,Gay Hamilton,Frank Middlemass,Arthur O'Sullivan,Godfrey Quigley,Leonard Rossiter,Philip Stone,Steven Berkoff,Marie Kean,Murray Melvin,André Morell,Leon Vitali,Billy Boyle"
Love Exposure,4.28,237,3:57,Japanese,Sion Sono,2008,"Romance,Drama,Action,Comedy",Japan,7520,27991,"Takahiro Nishijima,Hikari Mitsushima,Sakura Ando,Makiko Watanabe,Atsuro Watabe,Yutaka Shimizu,Hiroyuki Onoue,Tasuku Nagaoka,Sow Hirosawa,Yûko Genkaku,Mami Nakamura,Itsuji Itao,Ryo Iwamatsu"
Se7en,4.28,127,2:07,English,David Fincher,1995,"Thriller,Crime,Mystery",USA,64323,767974,"Brad Pitt,Morgan Freeman,Gwyneth Paltrow,Kevin Spacey,R. Lee Ermey,John C. McGinley,Julie Araskog,Mark Boone Junior,John Cassini,Reg E. Cathey,Peter Crombie,Richard Roundtree,Richard Schiff,Hawthorne James,Michael Massee,Leland Orser,Richard Portnow,Daniel Zacapa,Alfonso Freeman,Harris Savides"
One Flew Over the Cuckoo's Nest,4.28,133,2:13,English,Miloš Forman,1975,Drama,USA,21595,312524,"Jack Nicholson,Louise Fletcher,Danny DeVito,William Redfield,Scatman Crothers,Brad Dourif,Christopher Lloyd,Will Sampson,Dean R. Brooks,Michael Berryman,Sydney Lassick,William Duell,Vincent Schiavelli,Peter Brocco"
Ordet,4.28,125,2:05,Danish,Carl Theodor Dreyer,1955,Drama,Denmark,2550,16222,"Henrik Malberg,Birgitte Federspiel,Emil Hass Christensen,Preben Lerdorff Rye,Cay Kristiansen,Ejner Federspiel,Gerda Nielsen,Sylvia Eckhausen,Ann Elisabeth Groth,Susanne Rud,Ove Rud,Henry Skjær,Edith Trane,Hanne Agesen,Kirsten Andreasen"
Incendies,4.28,131,2:11,"French,Arabic,English",Denis Villeneuve,2010,"Drama,Mystery,War",Canada,16355,104402,"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Rémy Girard,Allen Altman,Abdelghafour Elaaziz,Dominique Briand,Frédéric Paquet,Ahmad Massad,John Dunn-Hill,Jackie Sawiris,Lara Atalla,Baya Belal,Yousef Shweihat"
Pather Panchali,4.28,125,2:05,"Bengali, Bangla",Satyajit Ray,1955,Drama,India,4841,26541,"Subir Banerjee,Uma Das Gupta,Karuna Banerjee,Kanu Bannerjee,Chunibala Devi,Runki Banerjee,Reba Devi,Aparna Devi,Tulsi Chakraborty,Haren Banerjee,Rampada Das,Nibhanani Devi,Rama Gangopadhaya,Roma Ganguli,Binoy Mukherjee,Haridhan Nag,Harimohan Nag,Kshirod Roy,Suren Roy"
Nights of Cabiria,4.28,110,1:50,Italian,Federico Fellini,1957,Drama,Italy,5498,34000,"Giulietta Masina,François Périer,Franca Marzi,Amedeo Nazzari,Aldo Silvani,Dorian Gray,Ennio Girolami,Mario Passante,Franco Balducci,Ciccio Barbi,Luciano Bonanni,Leo Catozzo,Mimmo Poli,Dominique Delouche"
Alien,4.28,117,1:57,"English,Spanish",Ridley Scott,1979,"Science Fiction,Horror",USA,48385,501134,"Sigourney Weaver,Tom Skerritt,Ian Holm,John Hurt,Harry Dean Stanton,Yaphet Kotto,Veronica Cartwright,Helen Horton,Bolaji Badejo,Boris Kempner"
The Battle of Algiers,4.27,121,2:01,"Italian,English,Arabic,French",Gillo Pontecorvo,1966,"Drama,War,History",Italy,5834,37837,"Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,Ugo Paletti,Fusia El Kader,Mohamed Ben Kassen,Gene Wesson"
The Seventh Seal,4.27,96,1:36,Swedish,Ingmar Bergman,1957,"Drama,Fantasy",Sweden,18969,136734,"Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe,Bibi Andersson,Inga Gill,Maud Hansson,Inga Landgré,Gunnel Lindblom,Bertil Anderberg,Anders Ek,Åke Fridell,Gunnar Olsson,Erik Strandmark,Lars Lind,Benkt-Åke Benktsson,Tor Borong,Gudrun Brost"
No Country for Old Men,4.27,122,2:02,"English,Spanish",Joel Coen,2007,"Drama,Thriller,Crime",USA,45082,566906,"Josh Brolin,Javier Bardem,Tommy Lee Jones,Kelly Macdonald,Woody Harrelson,Garret Dillahunt,Tess Harper,Barry Corbin,Stephen Root,Rodger Boyce,Beth Grant,Ana Reeder,Kit Gwin,Zach Hopkins,Chip Love,Eduardo Antonio Garcia,Gene Jones,Myk Watford,Boots Southerland,Kathy Lamkin"
The Shining,4.27,144,2:24,English,Stanley Kubrick,1980,"Horror,Thriller",USA,68916,855609,"Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Joe Turkel,Philip Stone,Barry Nelson,Barry Dennen,Tony Burton,Lia Beldam,Billie Gibson,David Baxt,Manning Redwood,Robin Pappas,Anne Jackson"
Chungking Express,4.27,103,1:43,"Cantonese,Chinese,English,Hindi,Japanese,Eastern Punjabi, Eastern Panjabi",Wong Kar-wai,1994,"Romance,Comedy,Drama",Hong Kong,47628,203368,"Takeshi Kaneshiro,Brigitte Lin,Tony Leung Chiu-wai,Faye Wong,Valerie Chow,Piggy Chan,Kwan Lee-na,Wong Chi-Ming,Leung San,Rico Chu,Lynne Langdon,Vickie Eng,Thom Baker"
Werckmeister Harmonies,4.26,139,2:19,"Hungarian,Slovak",Béla Tarr,2000,Drama,France,2275,15398,"Lars Rudolph,Peter Fitz,Hanna Schygulla,Alfréd Járai,Gyula Pauer,János Derzsi,Mihály Kormos,Putyi Horváth,Éva Almássy Albert,Péter Dobai,László feLugossy,Barna Mihók,Sandor Bese"
The Pianist,4.26,150,2:30,"English,Polish,Russian,German",Roman Polanski,2002,"War,Drama",France,15113,272039,"Adrien Brody,Thomas Kretschmann,Frank Finlay,Maureen Lipman,Emilia Fox,Ed Stoppard,Julia Rayner,Jessica Kate Meyer,Michal Zebrowski,Wanja Mues,Richard Ridings,Nomi Sharron,Anthony Milner,Lucy Skeaping,Roddy Skeaping,Ben Harlan,Thomas Lawinky,Joachim Paul Assböck,Roy Smiles,Paul Bradley,Daniel Caltagirone,Andrzej Blumenfeld,Zbigniew Zamachowski,Detlev von Wangenheim,Popeck,Zofia Czerwińska,Udo Kroschwald,Uwe Rathsam,Joanna Brodzik,Katarzyna Bargiełowska,Maja Ostaszewska,John Bennett"
City Lights,4.26,87,1:27,"English,No spoken language",Charlie Chaplin,1931,"Drama,Romance,Comedy",USA,8777,71178,"Charlie Chaplin,Virginia Cherrill,Harry Myers,Al Ernest Garcia,Hank Mann,Albert Austin,Eddie Baker,Henry Bergman,Buster Brodie,Jeanne Carpenter,Tom Dempsey,James Donnelly"
8½,4.26,139,2:19,"Italian,German,English,French",Federico Fellini,1963,"Fantasy,Drama",Italy,15541,98774,"Marcello Mastroianni,Claudia Cardinale,Anouk Aimée,Sandra Milo,Rossella Falk,Barbara Steele,Madeleine Lebeau,Caterina Boratto,Eddra Gale,Guido Alberti,Mario Conocchia,Bruno Agostini,Cesarino Miceli Picardi,Jean Rougeul,Mario Pisu,Yvonne Casadei,Ian Dallas,Mino Doro,Nadia Sanders"
The Second Mother,4.26,112,1:52,"Portuguese,English",Anna Muylaert,2015,Drama,Brazil,3952,31644,"Regina Casé,Camila Márdila,Karine Teles,Lourenço Mutarelli,Michel Joelsas,Helena Albergaria,Bete Dorgam,Luis Miranda,Theo Werneck,Luci Pereira,Anapaula Csernik,Hugo Villavicenzio,Roberto Camargo,Alex Huszar,Andrey Lima Lopes,Thaise Reis,Nilcéia Vicente"
Late Spring,4.26,110,1:50,Japanese,Yasujirō Ozu,1949,Drama,Japan,4867,26384,"Chishū Ryū,Setsuko Hara,Yumeji Tsukioka,Haruko Sugimura,Hohi Aoki,Jun Usami,Kuniko Miyake,Masao Mishima,Yoshiko Tsubouchi,Yôko Katsuragi,Toyo Takahashi,Jun Tanizaki"
All About Eve,4.26,139,2:19,"English,French",Joseph L. Mankiewicz,1950,Drama,USA,8767,57582,"Bette Davis,Anne Baxter,George Sanders,Celeste Holm,Gary Merrill,Hugh Marlowe,Gregory Ratoff,Thelma Ritter,Marilyn Monroe,Barbara Bates,Walter Hampden,Randy Stuart,Craig Hill,Leland Harris,Barbara White,William Pullen"
Singin' in the Rain,4.26,103,1:43,English,Stanley Donen,1952,"Comedy,Romance,Drama,Music",USA,26390,171800,"Gene Kelly,Donald O'Connor,Debbie Reynolds,Jean Hagen,Millard Mitchell,Cyd Charisse,Douglas Fowley,Rita Moreno,Mae Clarke,Bess Flowers,Robert Foulk,Kathleen Freeman,Joi Lansing,Sylvia Lewis,Harry 'Snub' Pollard,William Schallert,Elaine Stewart,Brick Sullivan,John George,King Donovan,Lana Turner,Allen Sutherland,Dawn Addams,John Albright,Betty Van Allen,Sue Allen,Marie Ardell,Bette Arlen,David Bair,Jimmy Bates,Mary Bayless,Marcella Becker,Margaret Bert,Madge Blake,Lulu Mae Bohrman,Gail Bonney,Chet Brandenburg,Tex Brodus,Barbara Carroll,Gwen Carter,Bill Chatham,Lyle Clark,Dorinda Clifton,Harry Cody,Chick Collins,Pat Conway,Jeanne Coyne,Ruby C. Currie,Fred Datig Jr.,Bert Davidson,Robert Dayo,Gloria Dea,Patricia Denise,Harry Denny,Kay Deslys,John Dodsworth,Michael Dugan,Phil Dunham,Helen Eby-Rock,Richard Emory,Betty Erbes,Charles Evans"
The 400 Blows,4.25,99,1:39,"French,English",François Truffaut,1959,Drama,France,14477,109203,"Jean-Pierre Léaud,Claire Maurier,Albert Rémy,Georges Flamant,Patrick Auffay,Robert Beauvais,Yvonne Claudie,Pierre Repp,Guy Decomble,Daniel Couturier,François Nocher,Richard Kanayan,Renaud Fontanarosa,Michel Girard"
Landscape in the Mist,4.25,125,2:05,Greek (modern),Theo Angelopoulos,1988,Drama,France,1978,12601,"Michalis Zeke,Tania Palaiologou,Stratos Tzortzoglou,Eva Kotamanidou,Aliki Georgouli,Ilias Logothetis,Vangelis Kazan,Stratos Pahis,Mihalis Giannatos,Kiriakos Katrivanos,Grigoris Evangelatos,Nadia Mourouzi"
The Best of Youth,4.25,366,6:06,"Italian,English,Norwegian",Marco Tullio Giordana,2003,"Romance,Drama,History",Italy,822,6357,"Luigi Lo Cascio,Alessio Boni,Adriana Asti,Sonia Bergamasco,Fabrizio Gifuni,Maya Sansa,Valentina Carnelutti,Jasmine Trinca,Andrea Tidona,Lidia Vitale,Claudio Gioè,Paolo Bonanni,Giovanni Scifoni,Riccardo Scamarcio,Camilla Filippi,Mario Schiano,Michele Melega,Thérèse Vaddem,Stefano Abbati,Giovanni Martorana,Paolo De Vita,Mimmo Mignemi,Domenico Centamore,Pippo Montalbano,Gaspare Cucinella,Dario Veca,Nicola Vigilante,Marcello Prayer,Walter Da Pozzo,Krum De Nicola,Maurizio Di Carmine,Roberto Accornero,Fabio Camilli,Antonello Puglisi,Emilia Marra"
Bicycle Thieves,4.25,89,1:29,Italian,Vittorio De Sica,1948,Drama,Italy,13540,101089,"Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri,Gino Saltamerenda,Giulio Chiari,Vittorio Antonucci,Michele Sakara,Carlo Jachino,Emma Druetti,Giulio Battiferri,Sergio Leone,Mario Meniconi"
An Elephant Sitting Still,4.25,234,3:54,Chinese,Hu Bo,2018,Drama,China,4624,17976,"Peng Yuchang,Wang Yuwen,Zhang Yu,Li Congxi,Zhenghui Ling,Xiaolong Zhang,Li Danyi,Kong Wei,Kong Yixin,Chaobei Wang,Wang Xueyang,Zhu Yan Man Zi,Zhaoyan Guozhang,Li Suyun,Huang Ximan,Li Qing,He Miaomiao,Li Binyuan"
M,4.25,109,1:49,German,Fritz Lang,1931,"Crime,Action,Thriller,Drama",Germany,11458,84428,"Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,Theodor Loos,Gustaf Gründgens,Friedrich Gnaß,Fritz Odemar,Paul Kemp,Theo Lingen,Rudolf Blümner,Georg John,Franz Stein,Ernst Stahl-Nachbaur"
A Special Day,4.24,106,1:46,Italian,Ettore Scola,1977,"Drama,Romance",Italy,1881,13431,"Sophia Loren,Marcello Mastroianni,John Vernon,Françoise Berd,Patrizia Basso,Tiziano De Persio,Maurizio Di Paolantonio,Antonio Garibaldi,Vittorio Guerrieri,Alessandra Mussolini,Nicole Magny,Galeazzo Ciano,Adolf Hitler,King Victor Emanuel III,Benito Mussolini"
Tampopo,4.24,115,1:55,Japanese,Juzo Itami,1985,Comedy,Japan,13200,45999,"Tsutomu Yamazaki,Nobuko Miyamoto,Ken Watanabe,Koji Yakusho,Rikiya Yasuoka,Hyōe Enoki,Gō Awazu,Mario Abe,Izumi Hara,Isao Hashizume,Hisashi Igawa,Toshimune Kato,Kenso Kato"
Mommy,4.24,138,2:18,"French,English",Xavier Dolan,2014,Drama,Canada,21773,112908,"Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Alexandre Goyette,Michèle Lituac,Viviane Pacal,Natalie Hamel-Roy,Isabelle Nélisse,Patrick Huard,Ted Pluviose,Pierre-Yves Cardinal,Reda Guerinik,Justin Laramée"
A Man Escaped,4.24,101,1:41,"French,German",Robert Bresson,1956,"History,Drama,Thriller,War",France,5261,29974,"François Leterrier,Charles Le Clainche,Maurice Beerblock,Roland Monod,Jacques Ertaud,Jean Paul Delhumeau,Roger Treherne,Jean Philippe Delamarre,Jacques Oerlemans,Klaus Detlef Grevenhorst,Leonhard Schmidt,Roger Planchon"
Farewell My Concubine,4.24,171,2:51,Chinese,Chen Kaige,1993,Drama,China,2037,16098,"Leslie Cheung,Zhang Feng Yi,Gong Li,Jiang Wenli,Ge You,Lu Qi,Ying Da,Yi Di,Yitong Zhi,Fei Zhenxiang,Li Chun,Lei Han,Fei Yang,Ma Ming-Wei,Zhao Hai-Long,Yin Zhi,Li Dan,Yang Yong-Chao"
A Separation,4.24,123,2:03,Persian (Farsi),Asghar Farhadi,2011,Drama,Iran,7674,76629,"Leila Hatami,Payman Maadi,Shahab Hosseini,Sare Bayat,Sarina Farhadi,Babak Karimi,Ali-Asghar Shahbazi,Shirin Yazdanbakhsh,Kimia Hosseini,Merila Zarei,Mohammad Sajadian,Armine Zeytounchian,Bahareh Riahi"
Three Colors: Red,4.24,100,1:40,French,Krzysztof Kieślowski,1994,"Romance,Mystery,Drama",France,10516,75397,"Irène Jacob,Jean-Louis Trintignant,Jean-Pierre Lorit,Frédérique Feder,Samuel Le Bihan,Marion Stalens,Teco Celio,Bernard Escalon,Jean Schlegel,Elżbieta Jasińska,Zbigniew Zamachowski,Juliette Binoche,Julie Delpy,Benoît Régent,Roland Carey,Jean-Marie Daunas"
Funeral Parade of Roses,4.24,105,1:45,Japanese,Toshio Matsumoto,1969,"Drama,Crime",Japan,6131,24703,"Shinnosuke Ikehata,Osamu Ogasawara,Yoshio Tsuchiya,Emiko Azuma,Yoshihiro Katô,Koichi Nakamura,Masato Hara,Toyosaburo Uchiyama,Nagaharu Yodogawa"
Wild Strawberries,4.24,91,1:31,"Swedish,Latin",Ingmar Bergman,1957,Drama,Sweden,9457,72743,"Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,Jullan Kindahl,Folke Sundquist,Björn Bjelfvenstam,Naima Wifstrand,Gunnel Broström,Gertrud Fridh,Sif Ruud,Gunnar Sjöberg,Max von Sydow"
Lawrence of Arabia,4.24,228,3:48,"English,Arabic,Turkish",David Lean,1962,"Adventure,War,Drama,History",UK,11901,98357,"Peter O'Toole,Omar Sharif,Alec Guinness,Jack Hawkins,Anthony Quinn,José Ferrer,Anthony Quayle,Claude Rains,Arthur Kennedy,Donald Wolfit,I.S. Johar,Gamil Ratib,Michel Ray,John Dimech,Zia Mohyeddin,Howard Marion-Crawford,Jack Gwillim,Hugh Miller,John Barry,Bruce Beeby,Fred Bennett,John Bennett"
The Young Girls of Rochefort,4.24,126,2:06,French,Jacques Demy,1967,"Comedy,Drama,Romance",France,10414,31015,"Catherine Deneuve,Françoise Dorléac,Jacques Perrin,Gene Kelly,Danielle Darrieux,Michel Piccoli,George Chakiris,Grover Dale,Jacques Riberolles,Geneviève Thénier,Henri Crémieux,Pamela Hart,Leslie North,Patrick Jeantet,René Pascal,Dorothée Blanck,Daniel Moquay,Daniel Gall,Bernard Fradet,Remy Brozek,Véronique Duval,Pierre Caden,Peter Ardran,Wendy Barry,Sarah Butler,Anne Chapman,Jane Darling,Tudor Davies"
Where Is My Friend's House?,4.24,83,1:23,Persian (Farsi),Abbas Kiarostami,1987,"Drama,Family",Iran,8186,38403,"Babek Ahmed Poor,Ahmed Ahmed Poor,Kheda Barech Defai,Iran Outari,Ait Ansari,Sadika Taohidi,Ali Djamali,Biman Mouafi,Aziz Babai,Nader Ghoulami,Akbar Mouradi,Teba Slimani,Mohammad Reza Parvaneh"
Red Beard,4.24,185,3:05,Japanese,Akira Kurosawa,1965,Drama,Japan,2112,12978,"Toshirō Mifune,Yûzô Kayama,Tsutomu Yamazaki,Reiko Dan,Miyuki Kuwano,Kyōko Kagawa,Tatsuyoshi Ehara,Terumi Niki,Akemi Negishi,Yoshitaka Zushi,Yoshio Tsuchiya,Eijirô Tôno,Takashi Shimura,Chishū Ryū,Haruko Sugimura,Kinuyo Tanaka,Eijirō Yanagi,Kōji Mitsui,Kō Nishimura,Nobuo Chiba,Kamatari Fujiwara,Ken Mitsuda"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.24,95,1:35,English,Stanley Kubrick,1964,"Drama,Comedy,War",UK,26101,236531,"Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,Slim Pickens,Peter Bull,James Earl Jones,Tracy Reed,Jack Creley,Frank Berry,Robert O'Neill,Glenn Beck,Roy Stephens"
Army of Shadows,4.23,145,2:25,"French,German,English",Jean-Pierre Melville,1969,"Drama,War,Thriller",France,3270,22133,"Lino Ventura,Paul Meurisse,Jean-Pierre Cassel,Simone Signoret,Claude Mann,Paul Crauchet,Christian Barbier,Serge Reggiani,Alain Dekok,Alain Mottet,Alain Libolt,Jean-Marie Robain"
Casablanca,4.23,102,1:42,"English,German,French,Italian",Michael Curtiz,1942,"Romance,Drama",USA,29375,240491,"Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,S.Z. Sakall,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois,Enrique Acosta,Ed Agresti,Louis V. Arco,Frank Arnold,Leon Belasco,Nino Bellini,Oliver Blake,Monte Blue,Eugene Borden,Dick Botiller,Maurice Brierre,Sebastian Cabot,Anita Camargo,George M. Carleton,Spencer Chan,Melie Chang,Tex Cooper,Gino Corrado,Franco Corsaro,Adrienne D'Ambricourt,Marcel Dalio,Helmut Dantine,Jean De Briac,George Dee,Jean Del Val,Carl Deloro,Joseph DeVillard,Arthur Dulac"
The Father,4.23,97,1:37,English,Florian Zeller,2020,Drama,France,41628,177710,"Anthony Hopkins,Olivia Colman,Mark Gatiss,Olivia Williams,Imogen Poots,Rufus Sewell,Ayesha Dharker,Roman Zeller,Evie Wray,Adnan Kundi,Brian Rodger,Romulus Stoicescu"
All That Jazz,4.23,123,2:03,English,Bob Fosse,1979,Drama,USA,10992,39820,"Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,Cliff Gorman,Ben Vereen,Erzsebet Foldi,Michael Tolan,Max Wright,William LeMassena,Irene Kane,Deborah Geffner,Kathryn Doby,Anthony Holland,Robert Hitt,David Margulies,Sue Paul,Keith Gordon,Frankie Man,Alan Heim,John Lithgow,Sandahl Bergman,Eileen Casey,Bruce Anthony Davis,Gary Flannery,Jennifer Nairn-Smith,Danny Ruvolo,Leland Schwantes,John Sowinski,Candace Tovar,Rima Vetter,Trudy Carson,Mary Sue Finnerty,Lesley Kingley"
Interstellar,4.23,169,2:49,English,Christopher Nolan,2014,"Science Fiction,Drama,Adventure",UK,82274,1002235,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,Michael Caine,Bill Irwin,Casey Affleck,John Lithgow,Wes Bentley,David Gyasi,Matt Damon,Topher Grace,Timothée Chalamet,Ellen Burstyn"
Life Is Beautiful,4.23,116,1:56,"Italian,German,Czech,English",Roberto Benigni,1997,"Comedy,Drama",Italy,9402,178032,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric,Lidia Alfonsi,Giuliana Lojodice,Amerigo Fontani,Pietro De Silva,Francesco Guzzo,Raffaella Lebboroni,Marisa Paredes,Horst Buchholz,Adelaide Alaïs,Verena Buratti"
Yojimbo,4.23,110,1:50,Japanese,Akira Kurosawa,1961,"Drama,Thriller",Japan,11049,70108,"Toshirō Mifune,Tatsuya Nakadai,Yōko Tsukasa,Isuzu Yamada,Daisuke Katō,Seizaburō Kawazu,Takashi Shimura,Hiroshi Tachikawa,Yōsuke Natsuki,Eijirô Tôno,Kamatari Fujiwara,Ikio Sawamura,Atsushi Watanabe,Susumu Fujita,Kyū Sazanka,Kō Nishimura,Takeshi Katō,Ichirô Nakatani,Sachio Sakai,Akira Tani"
The Sacrifice,4.23,149,2:29,"Swedish,Icelandic,English,French",Andrei Tarkovsky,1986,Drama,France,5201,33625,"Erland Josephson,Susan Fleetwood,Allan Edwall,Guðrún Gísladóttir,Sven Wollter,Valérie Mairesse,Filippa Franzén,Tommy Kjellqvist,Per Källman,Tommy Nordahl,Tintin Anderzon,Jane Friedmann,Helena Brodin,Martin Lindström,Birgit Carlstén,Jan-Olof Strandberg"
Evangelion: 3.0+1.0 Thrice Upon a Time,4.22,155,2:35,Japanese,Hideaki Anno,2021,"Science Fiction,Action,Animation,Drama",Japan,12676,39822,"Megumi Ogata,Yuko Miyamura,Megumi Hayashibara,Maaya Sakamoto,Kotono Mitsuishi,Yuriko Yamaguchi,Tomokazu Seki,Tetsuya Iwanaga,Junko Iwao,Miki Nagasawa,Koki Uchiyama,Fumihiko Tachiki,Motomu Kiyokawa,Akira Ishida"
Wings of Desire,4.22,128,2:08,"German,English,French,Hebrew (modern),Japanese,Spanish,Turkish",Wim Wenders,1987,"Romance,Fantasy,Drama",France,9887,58489,"Bruno Ganz,Solveig Dommartin,Otto Sander,Curt Bois,Peter Falk,Hans Martin Stier,Elmar Wilms,Sigurd Rachman,Beatrice Manowski,Lajos Kovács,Bruno Rosaz,Laurent Petitgand,Chick Ortega,Otto Kuhnle,Christoph Merg,Peter Werner,Teresa Harder,Jürgen Heinrich,Annelinde Gerstl,Mick Harvey,Nick Cave,Blixa Bargeld,Susanne Vierkötter,Paul Busch,Karin Busch,Irene Moessinger,Franky,Daniela Nasimcova,Bernard Eisenschitz,Didier Flamand,Rolf Henke,Scott Kirby,Franck Glemin,Jerry Barrish,Jeanette Pollak,Christian Bartels,David Crome,Käthe Fürstenwerth"
Children of Paradise,4.22,191,3:11,French,Marcel Carné,1945,"Drama,Romance",France,1526,10612,"Arletty,Jean-Louis Barrault,Pierre Brasseur,María Casares,Marcel Herrand,Louis Salou,Pierre Renoir,Jane Marken,Gaston Modot,Fabien Loris,Marcel Pérès,Etienne Decroux,Marcelle Monthil,Louis Florencie,Habib Benglia,Rognoni,Jacques Castelot,Paul Frankeur"
Dog Day Afternoon,4.22,125,2:05,English,Sidney Lumet,1975,"Drama,Thriller,Crime",USA,24100,147424,"Al Pacino,John Cazale,Charles Durning,Chris Sarandon,James Broderick,William Bogert,Penelope Allen,Sully Boyar,Beulah Garrick,Carol Kane,Sandra Kazan,Marcia Jean Kurtz,Amy Levitt,John Marriott,Estelle Omens,Gary Springer"
Rocco and His Brothers,4.22,178,2:58,Italian,Luchino Visconti,1960,"Drama,Crime",Italy,2277,14667,"Alain Delon,Renato Salvatori,Annie Girardot,Katina Paxinou,Alessandra Panaro,Spiros Focás,Max Cartier,Corrado Pani,Rocco Vidolazzi,Claudia Mori,Adriana Asti,Enzo Fiermonte,Nino Castelnuovo"
Paper Moon,4.22,102,1:42,English,Peter Bogdanovich,1973,"Comedy,Drama,Crime",USA,7107,36170,"Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman,Jessie Lee Fulton,Noble Willingham,Randy Quaid,P.J. Johnson,James N. Harrell,Burton Gilliam,Hugh Gillin,Desmond Dhooge,Art Ellison,Lila Waters"
Modern Times,4.22,87,1:27,"English,No spoken language",Charlie Chaplin,1936,"Comedy,Drama",USA,9403,102283,"Charlie Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Chester Conklin,Hank Mann,Stanley Blystone,Al Ernest Garcia,Richard Alexander,Cecil Reynolds,Mira McKinney,Murdock MacQuarrie,Wilfred Lucas,Edward LeSaint,Fred Malatesta"
The Grand Budapest Hotel,4.22,100,1:40,"English,French",Wes Anderson,2014,"Comedy,Drama",Germany,83920,853784,"Ralph Fiennes,Tony Revolori,Adrien Brody,Willem Dafoe,Saoirse Ronan,Jeff Goldblum,Owen Wilson,Edward Norton,F. Murray Abraham,Jude Law,Bill Murray,Léa Seydoux,Tilda Swinton,Harvey Keitel,Tom Wilkinson,Mathieu Amalric,Jason Schwartzman,Florian Lukas,Bob Balaban,Fisher Stevens,Wallace Wolodarsky,Waris Ahluwalia,Uwe Holoubek,Larry Pine,Karl Markovics,Volker Michalowski,Daniel Steiner,Hendrik von Bültzingslöwen,Lisa Kreuzer,Rainer Reiners,Sabine Urig,Matthias Matschke,Philipp Sonntag,Hans Martin Stier,Giselda Volodi,Neal Huff,Steffen Scheumann,Milton Welsh,Piet Paes"
Napoleon,4.22,333,5:33,"French,No spoken language",Abel Gance,1927,"War,History,Drama",France,1235,6142,"Albert Dieudonné,Vladimir Roudenko,Edmond van Daële,Alexandre Koubitzky,Antonin Artaud,Abel Gance,Gina Manès,Suzanne Bianchetti,Marguerite Gance,Yvette Dieudonné,Eugénie Buffet,Nicolas Koline,Henri Baudin,Daniel Buiret,Georges Cahuzac,Adrien Caillard,Roger Blum,Max Maxudian,Philippe Hériat,Pierre Batcheff,Acho Chakatouny,Annabella,Alex Bernard"
