Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Fauci,2.5,2.53,-0.03,08/22/2021,104,1:44,English,John Hoffman,2021,Documentary,USA,223,772,"Anthony Fauci,Christine Grady"
Copshop,2.0,3.05,-1.05,02/13/2022,107,1:47,English,Joe Carnahan,2021,"Action,Thriller,Crime",USA,6058,23304,"Gerard Butler,Frank Grillo,Alexis Louder,Toby Huss,Chad L. Coleman,Ryan O'Nan,Jose Pablo Cantillo,Kaiwi Lyman,Robert Walker Branchaud,Tracey Bonner,Christopher Michael Holley,Marshall Cook"
Dear Evan Hansen,2.0,2.16,-0.16,09/20/2021,137,2:17,English,Stephen Chbosky,2021,Drama,Japan,22084,48262,"Ben Platt,Amy Adams,Kaitlyn Dever,Danny Pino,Julianne Moore,Amandla Stenberg,Nik Dodani,Colton Ryan,DeMarius R. Copes,Liz Kate,Zoey Luna,Isaac Powell,Marvin Leon,Hadiya Eshe',Julia Chen Myers,Gerald Caesar"
The Starling,2.0,2.91,-0.91,09/14/2021,103,1:43,English,Theodore Melfi,2021,Drama,Canada,1905,8729,"Melissa McCarthy,Chris O'Dowd,Kevin Kline,Timothy Olyphant,Daveed Diggs,Skyler Gisondo,Laura Harrier,Rosalind Chao,Kimberly Quinn,Loretta Devine,Jesse Garcia,Edi Patterson,Emily Tremaine,Ravi Kapoor,Don McManus,Owen Atlas"
Attica,3.5,3.77,-0.27,09/11/2021,117,1:57,English,Stanley Nelson,2021,Documentary,USA,2190,7218,"Clarence Jones,John Johnson,Herman Schwartz,Elizabeth Gaynes,James Asbury,Nelson Rockefeller,Richard Nixon"
Django & Django: Sergio Corbucci Unchained,,3.4,,02/10/2022,77,1:17,"English,Italian",Luca Rea,2021,Documentary,Italy,919,3872,"Quentin Tarantino,Franco Nero,Ruggero Deodato,Sergio Corbucci"
Halloween Kills,3.0,2.56,0.44,10/04/2021,105,1:45,English,David Gordon Green,2021,"Thriller,Horror",UK,63400,200316,"Jamie Lee Curtis,Judy Greer,Andi Matichak,James Jude Courtney,Nick Castle,Airon Armstrong,Will Patton,Thomas Mann,Jim Cummings,Kyle Richards,Dylan Arnold,Robert Longstreet,Anthony Michael Hall,Charles Cyphers,Scott MacArthur,Michael McDonald,Ross Bacon,Nancy Stephens"
Old Henry,,3.61,,,99,1:39,"English,Spanish",Potsy Ponciroli,2021,"Action,Thriller,Western",USA,3467,15291,"Tim Blake Nelson,Scott Haze,Gavin Lewis,Stephen Dorff,Trace Adkins,Richard Speight Jr.,Max Arciniega,Brad Carter,Kent Shelton"
The Alpinist,2.5,3.83,-1.33,08/05/2021,93,1:33,"English,Spanish",Peter Mortimer,2021,"Adventure,Documentary",Austria,5560,21098,"Marc-André Leclerc,Brette Harrington,Alex Honnold,Reinhold Messner,Ueli Steck,Dean Potter,Derek Hersey,Jon Walsh,Tommy Caldwell,Austin Siadak,Peter Mortimer,Barry Blanchard,Michelle Kuipers,Will Stanhope,Will Gadd,Ryan Johnson"
Small Engine Repair,,3.42,,09/06/2021,102,1:42,English,John Pollono,2021,"Comedy,Drama",USA,1521,4717,"Jon Bernthal,Shea Whigham,Jordana Spiro,John Pollono,Ciara Bravo,Spencer House,James Ransone,James Badge Dale,Josh Helman,Ashlie Atkinson,Jenna Lamia,Joshua Bitton,Shannon Esper,Sophie Pollono"
Happening,3.5,3.89,-0.39,01/15/2022,100,1:40,French,Audrey Diwan,2021,"Drama,History",France,7135,31384,"Anamaria Vartolomei,Kacey Mottet Klein,Luàna Bajrami,Louise Orry-Diquéro,Pio Marmaï,Sandrine Bonnaire,Cyril Metzger,Anna Mouglalis,Fabrizio Rongione,Julien Frison,Alice de Lencquesaing,François Loriquet"
Sundown,3.5,3.27,0.23,01/08/2022,82,1:22,"English,Spanish",Michel Franco,2021,Drama,France,2917,10548,"Tim Roth,Charlotte Gainsbourg,Iazua Larios,Henry Goodman,Albertine Kotting McMillan,Samuel Bottomley,James Tarpey,Mónica del Carmen,Ely Guerra,Victor Hugo,Roberto Medina,Godriyah Faoziati"
